Policy_ID;Loss_Ratio;Actual_Risk_Status;Current_Premium_USD;Customer_LTV_USD;Churn_Prob;Projected_Loss_USD
POL-10042;0,543453747;1;1420;5650;0,160896011;4830
POL-10043;0,061653913;0;1400;5140;0,340564815;180
POL-10044;0,235686507;0;1270;3680;0,332179556;550
POL-10045;0,313294127;0;1340;9690;0,335849599;140
POL-10046;0,152583315;0;1280;7600;0,116291073;280
POL-10047;0,386886336;0;1510;9730;0,268570879;280
POL-10048;0,48458976;1;1110;8410;0,333614641;3610
POL-10049;0,095938778;0;1140;6530;0,221261077;680
POL-10050;0,366224158;0;1420;3160;0,114248103;190
POL-10051;0,298372843;0;1640;4680;0,295343739;900
POL-10052;0,223766367;0;1090;5800;0,313975474;160
POL-10053;0,164291649;0;1310;4570;0,260970616;230
POL-10054;0,461385827;1;1160;2860;0,138065863;2940
POL-10055;0,098321461;0;1390;4720;0,10720817;80
POL-10056;0,179247513;0;840;6110;0,23728094;150
POL-10057;0,343018733;0;1160;9680;0,194840157;220
POL-10058;0,274669838;0;1110;5150;0,250634817;260
POL-10059;0,443294578;0;1160;7810;0,0835099;330
POL-10060;0,132724432;0;620;4550;0,090774065;70
POL-10061;0,400643088;0;1760;6050;0,158866867;620
POL-10062;0,322596039;0;630;6430;0,127628086;200
POL-10063;0,292361826;0;1370;9700;0,235801589;630
POL-10064;0,113576973;0;930;1160;0,160262159;570
POL-10065;0,341558957;0;940;4880;0,255191236;230
POL-10066;0,169995874;0;1280;6990;0,280639521;520
POL-10067;0,801473205;1;1420;7340;0,106150271;6550
POL-10068;0,131770624;0;980;4150;0,325947151;70
POL-10069;0,125499659;0;970;6420;0,286147952;570
POL-10070;0,337013895;1;930;6530;0,238034241;3400
POL-10071;0,034398622;0;1300;9440;0,322678656;70
POL-10072;0,15937752;0;990;6920;0,129760625;210
POL-10073;0,261515845;0;1570;6220;0,176513961;390
POL-10074;0,249119402;0;960;5090;0,075736094;550
POL-10075;0,068586925;0;1390;7720;0,186854546;760
POL-10076;0,459506407;1;1640;5990;0,201920219;6970
POL-10077;0,541478139;1;1270;5370;0,234820077;2830
POL-10078;0,260596062;0;800;4540;0,069211764;240
POL-10079;0,067535907;0;1350;5910;0,059739806;780
POL-10080;0,046768835;0;1190;7900;0,17596705;410
POL-10081;0,127131477;0;1240;5470;0,106739994;160
POL-10082;0,326598726;0;1650;6570;0,277636503;120
POL-10083;0,119124865;0;1260;5390;0,250620885;340
POL-10084;0,107767046;0;1380;6840;0,147748092;200
POL-10085;0,324601026;0;1080;6670;0,06373498;580
POL-10086;0,219354491;0;1180;4930;0,104733087;270
POL-10087;0,304792232;0;1530;8160;0,257503803;950
POL-10088;0,403730071;1;1280;3590;0,347049468;2460
POL-10089;0,184128922;0;1320;8770;0,147938122;400
POL-10090;0,234473659;0;1500;7160;0,290598886;670
POL-10091;0,175068749;0;1660;7680;0,310128947;400
POL-10092;0,267331673;0;960;3200;0,064454262;140
POL-10093;0,238699744;1;1130;6400;0,324866479;5510
POL-10094;0,325795611;0;1610;9570;0,189860811;670
POL-10095;0,443487861;1;1750;6210;0,339272662;3990
POL-10096;0,385567137;1;1180;6760;0,211566748;5790
POL-10097;0,096152582;0;1320;4210;0,120543053;200
POL-10098;0,208984774;0;1340;3620;0,342400492;290
POL-10099;0,166196234;0;1310;6960;0,122991474;110
POL-10100;0,227214874;0;1310;5140;0,314743468;270
POL-10101;0,475920496;1;1590;5390;0,101938548;2900
POL-10102;0,115884791;1;800;6630;0,252430272;2490
POL-10103;0,171854072;0;1090;7870;0,173387483;300
POL-10104;0,240935809;0;1410;7550;0,341605452;550
POL-10105;0,196585454;0;1130;6700;0,105431789;90
POL-10106;0,154507401;0;1320;8270;0,172638402;140
POL-10107;0,302475388;0;1520;8590;0,241932897;620
POL-10108;0,262850399;0;1650;6240;0,343286127;980
POL-10109;0,17838549;0;1320;9840;0,141158923;140
POL-10110;0,071403369;0;1620;4330;0,169061315;520
POL-10111;0,368047935;0;1290;3430;0,188537596;880
POL-10112;0,165002399;0;1170;9270;0,125810147;620
POL-10113;0,646376948;1;860;5100;0,29520641;2520
POL-10114;0,503123085;1;1000;1160;0,077598682;4650
POL-10115;0,408646985;1;1250;5850;0,26143698;5850
POL-10116;0,378471939;1;1260;8960;0,210178691;3170
POL-10117;0,48081711;1;1310;5890;0,122578087;5510
POL-10118;0,450152771;1;1710;2950;0,197849142;3640
POL-10119;0,314854656;0;1440;5920;0,298984728;530
POL-10120;0,345830624;1;1450;6130;0,183632481;6490
POL-10121;0,538652168;1;1710;5830;0,086569329;3800
POL-10122;0,30617218;0;1160;5060;0,062240589;230
POL-10123;0,145588134;0;1120;5160;0,283338888;490
POL-10124;0,451885747;1;1560;7960;0,149129944;6890
POL-10125;0,359937425;1;1370;5340;0,329373409;3300
POL-10126;0,061906434;0;1240;6820;0,235144154;620
POL-10127;0,232854593;0;1230;6820;0,180885167;830
POL-10128;0,192082466;0;1210;5270;0,219339476;740
POL-10129;0,519909277;1;1220;5000;0,187139793;2650
POL-10130;0,220194374;0;1250;6640;0,321743325;430
POL-10131;0,137720236;0;1180;3200;0,187406561;590
POL-10132;0,471971286;1;1390;10490;0,081219353;5160
POL-10133;0,158846055;0;1440;5350;0,229126412;750
POL-10134;0,059689475;0;1110;5720;0,236894314;760
POL-10135;0,34081566;0;1480;7970;0,279599022;400
POL-10136;0,306648618;0;930;6160;0,329985242;510
POL-10137;0,278955507;0;1380;5660;0,182924505;150
POL-10138;0,328809786;0;1390;3830;0,155622982;860
POL-10139;0,40649019;1;1230;6700;0,197231305;3450
POL-10140;0,323459678;0;1260;5410;0,320059671;490
POL-10141;0,181342885;0;1190;10660;0,343994715;690
POL-10142;0,110344421;0;1120;6090;0,341370502;540
POL-10143;0,062611342;0;1250;1970;0,118908654;510
POL-10144;0,389373866;1;1110;8400;0,199068608;4290
POL-10145;0,220811992;0;1530;4500;0,127842208;210
POL-10146;0,170577461;0;720;6710;0,160394835;500
POL-10147;0,067636034;0;1220;9310;0,059505232;180
POL-10148;0,206369371;0;770;5880;0,098180354;280
POL-10149;0,358790123;1;980;6090;0,169122786;3650
POL-10150;0,316899985;0;1110;8370;0,15941139;250
POL-10151;0,136563708;0;1580;9350;0,133649765;730
POL-10152;0,217083743;0;1540;6230;0,119092873;110
POL-10153;0,136379243;0;1270;10550;0,274686714;840
POL-10154;0,06373493;0;1270;3020;0,13836491;290
POL-10155;0,578571628;1;1510;4690;0,261963089;4270
POL-10156;0,167375433;0;1530;5540;0,160587533;940
POL-10157;0,485750585;1;1110;8610;0,290593772;3500
POL-10158;0,223128881;0;1420;6960;0,100170005;690
POL-10159;0,373448847;0;1010;5150;0,097281164;150
POL-10160;0,386607569;0;1150;4250;0,25390168;630
POL-10161;0,291039293;0;1400;3510;0,324474573;400
POL-10162;0,358495757;0;1090;7530;0,092896011;760
POL-10163;0,368848525;0;1160;5720;0,072111385;560
POL-10164;0,433855848;0;840;8530;0,330391162;500
POL-10165;0,059324327;0;1360;3630;0,085198083;720
POL-10166;0,153738303;0;1030;7350;0,125110076;450
POL-10167;0,690927169;1;1040;6420;0,32884825;4430
POL-10168;0,049270968;0;1590;5270;0,290875368;700
POL-10169;0,18591584;0;1080;5420;0,152827344;90
POL-10170;0,271569503;0;1440;6710;0,336358316;400
POL-10171;0,321910526;1;1520;6440;0,220414554;4490
POL-10172;0,482094289;1;1480;4720;0,071674479;7200
POL-10173;0,319706276;0;1190;7530;0,260920063;510
POL-10174;0,491609938;0;1140;8910;0,211183207;510
POL-10175;0,184172971;0;1020;6010;0,221776415;610
POL-10176;0,02939225;0;810;7660;0,348231273;320
POL-10177;0,438324401;1;1440;6180;0,095754285;2840
POL-10178;0,220199178;0;1420;11320;0,24703877;80
POL-10179;0,127289802;0;1370;6530;0,187622329;210
POL-10180;0,562309943;1;540;7900;0,131567937;1170
POL-10181;0,135169257;0;1210;8830;0,258063437;250
POL-10182;0,189265253;0;1410;5220;0,250463842;650
POL-10183;0,278852212;0;1570;7910;0,306948532;230
POL-10184;0,258498869;0;1320;8220;0,313660771;140
POL-10185;0,171362418;0;1300;7360;0,218545836;890
POL-10186;0,390290413;1;1080;8030;0,14767177;4000
POL-10187;0,138840929;0;1340;5200;0,208874135;620
POL-10188;0,465921719;1;1190;10790;0,157776538;3580
POL-10189;0,615751976;1;1070;1700;0,133206825;3110
POL-10190;0,307379921;0;960;4820;0,215472613;380
POL-10191;0,311661094;0;1010;3820;0,247380252;170
POL-10192;0,134701264;0;1330;9950;0,227171386;560
POL-10193;0,723903184;1;900;6240;0,336325856;3380
POL-10194;0,119100278;0;1180;4610;0,139590836;800
POL-10195;0,285385789;0;1580;5290;0,161702506;930
POL-10196;0,51430969;0;890;3450;0,250292847;200
POL-10197;0,156489795;0;1360;7750;0,230107588;440
POL-10198;0,260557526;0;1390;7960;0,050559016;430
POL-10199;0,139813591;0;1180;7110;0,143685641;720
POL-10200;0,388093991;0;1410;5070;0,126128556;400
POL-10201;0,464164577;1;1200;9550;0,301974466;4610
POL-10202;0,128458048;0;1450;8060;0,309874619;270
POL-10203;0,055206396;0;980;3010;0,135167942;190
POL-10204;0,017279127;0;1720;6110;0,080621346;1150
POL-10205;0,159249869;0;1610;4190;0,111560584;1050
POL-10206;0,266744995;0;690;9440;0,10297052;170
POL-10207;0,529692034;1;1540;5600;0,121230608;4960
POL-10208;0,307101767;0;1110;3740;0,120393471;430
POL-10209;0,250480564;0;1610;6210;0,193951595;910
POL-10210;0,403558321;1;1500;9680;0,145892414;5090
POL-10211;0,369621493;0;980;8230;0,217946525;330
POL-10212;0,220780978;0;1390;5460;0,153240387;230
POL-10213;0,090741486;0;1070;6150;0,294403079;280
POL-10214;0,426298561;0;1380;8490;0,335237743;750
POL-10215;0,307657037;0;1260;9290;0,171175536;410
POL-10216;0,08686887;0;1070;3400;0,06484056;360
POL-10217;0,319882679;0;920;6810;0,121873474;520
POL-10218;0,172459455;0;1310;5790;0,080557449;720
POL-10219;0,523607747;0;1370;5520;0,153429173;240
POL-10220;0,14411306;0;1210;9180;0,24353427;390
POL-10221;0,436901641;0;1060;3790;0,205672373;640
POL-10222;0,562036616;1;1130;8110;0,122862703;2430
POL-10223;0,203880809;0;980;1940;0,280177716;470
POL-10224;0,26526007;0;1430;5050;0,089444219;360
POL-10225;0,342996453;1;710;6570;0,118458793;3260
POL-10226;0,308174515;0;1490;3880;0,252814145;230
POL-10227;0,078476409;0;1230;10910;0,109170316;380
POL-10228;0,204178429;0;1380;5070;0,253628815;390
POL-10229;0,467574802;0;1400;4900;0,343082405;890
POL-10230;0,224443882;0;1280;5110;0,299405986;520
POL-10231;0,56427426;1;1150;7670;0,098003162;2160
POL-10232;0,458363803;1;1530;8310;0,206149526;6800
POL-10233;0,228732352;0;820;5620;0,176696469;320
POL-10234;0,194162532;0;1580;7130;0,347500824;870
POL-10235;0,114048785;0;970;7290;0,339320211;540
POL-10236;0,118863898;0;1170;3620;0,088133616;330
POL-10237;0,224300326;0;1610;6260;0,322619262;170
POL-10238;0,174845593;0;1810;5240;0,108025501;1250
POL-10239;0,238101844;0;1300;3390;0,145835451;610
POL-10240;0,437943349;1;910;6930;0,156022394;1960
POL-10241;0,305082096;0;1460;8530;0,136046614;790
POL-10242;0,411015124;0;1240;6590;0,305973138;560
POL-10243;0,238411386;1;980;1360;0,148979722;4660
POL-10244;0,305558562;0;1300;5590;0,295021526;900
POL-10245;0,224311987;0;920;4710;0,348313045;480
POL-10246;0,228303504;0;1300;10060;0,302228461;780
POL-10247;0,601389323;1;1020;5820;0,153842878;4500
POL-10248;0,186101638;0;760;3270;0,263375718;480
POL-10249;0,332237653;0;830;6410;0,210177034;440
POL-10250;0,153590653;0;1100;7770;0,285955335;590
POL-10251;0,589594569;0;1380;6700;0,095929218;150
POL-10252;0,136011136;0;1560;4890;0,241440378;700
POL-10253;0,145292325;0;1610;5580;0,282100032;430
POL-10254;0,469632508;0;870;8030;0,278369401;420
POL-10255;0,347054888;0;1190;6700;0,339077902;500
POL-10256;0,224377818;0;1100;10550;0,067523414;130
POL-10257;0,380680807;0;1220;6700;0,153733811;480
POL-10258;0,25273847;0;1600;3440;0,192966075;550
POL-10259;0,191841792;0;1290;6100;0,142929059;720
POL-10260;0,217770879;0;1470;5370;0,142936854;550
POL-10261;0,546954183;1;1800;3400;0,102838582;5130
POL-10262;0,432027819;1;860;6760;0,293885421;3890
POL-10263;0,337528942;0;1130;5660;0,322420713;550
POL-10264;0,280122554;0;1390;6800;0,074698208;970
POL-10265;0,204692716;0;1320;10160;0,096469674;370
POL-10266;0,197828891;0;1510;6240;0,1185359;750
POL-10267;0,420098752;1;1150;8550;0,202696245;4750
POL-10268;0,094568431;0;1300;6120;0,28735161;740
POL-10269;0,068336911;0;1060;7330;0,071436657;590
POL-10270;0,373371151;0;1520;6740;0,241043896;790
POL-10271;0,181497459;0;1260;7030;0,094800637;160
POL-10272;0,468820351;1;1600;6240;0,34143712;7450
POL-10273;0,44183762;0;1600;9400;0,319632029;1060
POL-10274;0,273119565;1;930;7760;0,334874855;3540
POL-10275;0,441739233;1;1640;6730;0,081849163;5160
POL-10276;0,451499466;0;1480;8320;0,196410915;930
POL-10277;0,514302511;1;1210;6760;0,09957397;2410
POL-10278;0,198480423;0;1460;8730;0,230106665;640
POL-10279;0,056244959;0;1120;4140;0,119821734;500
POL-10280;0,013096916;0;1590;10760;0,281189295;750
POL-10281;0,442215345;0;1270;6840;0,24320078;540
POL-10282;0,256328823;0;1470;4220;0,221481378;460
POL-10283;0,120080372;0;1090;8000;0,297568147;440
POL-10284;0,290654868;0;1320;9090;0,200081909;810
POL-10285;0,248426499;0;1470;4450;0,130955522;900
POL-10286;0,273114963;0;1330;5560;0,236211649;730
POL-10287;0,231032745;0;1390;8530;0,33711879;440
POL-10288;0,397758385;0;1060;7630;0,230347809;590
POL-10289;0,122809951;0;1330;5620;0,238885835;400
POL-10290;0,244312466;0;1060;6000;0,330425204;510
POL-10291;0,169055031;0;1250;4000;0,20458253;520
POL-10292;0,363014352;0;1130;4520;0,348907239;280
POL-10293;0,159391579;0;1200;3150;0,097898613;410
POL-10294;0,098012461;0;810;5800;0,211111953;480
POL-10295;0,325874444;0;1260;7860;0,113870252;810
POL-10296;0,306510805;0;1220;5970;0,185997911;220
POL-10297;0,076712184;0;870;8730;0,101172173;300
POL-10298;0,472862084;0;1340;5210;0,116758631;440
POL-10299;0,315701101;0;1460;3520;0,113240015;540
POL-10300;0,206309642;0;1330;8810;0,146009402;910
POL-10301;0,038672939;0;1450;7230;0,09038151;560
POL-10302;0,416867006;0;1120;8950;0,292802652;660
POL-10303;0,305264082;0;1200;5830;0,116202679;580
POL-10304;0,360409464;0;1270;9680;0,174970699;150
POL-10305;0,319652372;0;1290;4350;0,054817141;650
POL-10306;0,060392032;1;660;5930;0,081464463;2070
POL-10307;0,217675619;0;1020;7320;0,31888157;550
POL-10308;0,423391043;1;1500;5560;0,301148061;6980
POL-10309;0,085753596;0;1050;6960;0,302276736;220
POL-10310;0,2411421;0;1190;9000;0,173406025;650
POL-10311;0,10682137;0;1240;7250;0,09245924;360
POL-10312;0,393997432;1;910;6140;0,082368356;3630
POL-10313;0,255722633;0;1650;8950;0,231680817;640
POL-10314;0,384081129;0;1240;7520;0,298457976;60
POL-10315;0,366145806;0;1040;6480;0,320034345;520
POL-10316;0,581643489;1;1410;6340;0,136619495;5650
POL-10317;0,562177561;0;1180;5760;0,146307971;300
POL-10318;0,08844444;0;1260;8190;0,080262997;80
POL-10319;0,34462353;0;1600;8260;0,282322937;290
POL-10320;0,609565472;1;1110;9030;0,132707081;3970
POL-10321;0,314130977;1;1540;7360;0,194278841;7190
POL-10322;0,647946361;1;1160;5410;0,328669191;2440
POL-10323;0,22650192;0;1270;7160;0,275664719;260
POL-10324;0,453226706;0;1330;5380;0,065821369;670
POL-10325;0,599621851;1;1160;6820;0,052446378;3180
POL-10326;0,136231862;0;1000;9320;0,286222378;450
POL-10327;0,23613795;0;1360;8860;0,215750071;750
POL-10328;0,604661457;1;1530;8310;0,266100323;5170
POL-10329;0,292048719;0;1410;6450;0,097044597;140
POL-10330;0,400422274;0;1400;8290;0,311614355;400
POL-10331;0,450771094;0;1140;5220;0,281997494;580
POL-10332;0,184801866;0;1420;3580;0,317251674;700
POL-10333;0,410192934;1;1340;7040;0,152328825;3190
POL-10334;0,34973435;0;1470;5750;0,132711559;680
POL-10335;0,175619197;0;1270;10070;0,095519432;400
POL-10336;0,205262227;0;1400;9760;0,329026552;800
POL-10337;0,608556002;1;1130;5120;0,103048761;4450
POL-10338;0,141658771;0;1420;7890;0,08579517;820
POL-10339;0,435939463;0;940;2550;0,107803463;270
POL-10340;0,308236533;0;1170;7180;0,281414518;180
POL-10341;0,455006399;1;1080;7130;0,31685877;4340
POL-10342;0,427549085;0;2130;4510;0,293274037;1470
POL-10343;0,278186168;0;1410;6830;0,218971566;640
POL-10344;0,185240552;0;980;4640;0,348165275;160
POL-10345;0,555317199;1;910;8200;0,070656219;4200
POL-10346;0,503182058;0;810;6870;0,310157503;240
POL-10347;0,32184672;1;970;9490;0,178314159;2870
POL-10348;0,294037502;0;1040;3440;0,186536705;130
POL-10349;0,125449385;0;1010;4760;0,088278468;550
POL-10350;0,444401251;0;1130;5530;0,060029892;630
POL-10351;0,575768815;1;1460;7480;0,144988498;6680
POL-10352;0,123810866;0;1200;7040;0,10245606;110
POL-10353;0,141742475;0;1430;7350;0,195001627;900
POL-10354;0,187275199;0;980;5200;0,094199158;250
POL-10355;0,191267286;0;1150;2690;0,091378321;300
POL-10356;0,275008619;0;1020;4980;0,313093695;140
POL-10357;0,259473265;0;1360;9320;0,32638841;940
POL-10358;0,116017338;0;1200;5260;0,339264863;830
POL-10359;0,5878549;1;1690;6850;0,254150733;4200
POL-10360;0,141844276;0;1080;6620;0,281304951;120
POL-10361;0,267094092;0;990;6870;0,300735427;590
POL-10362;0,169349402;1;1320;3830;0,247676618;4670
POL-10363;0,5051296;0;1210;8140;0,149072931;160
POL-10364;0,215226301;0;1380;6300;0,0969161;300
POL-10365;0,302679284;0;1230;11120;0,121181992;610
POL-10366;0,604336895;1;1210;5750;0,302124215;4820
POL-10367;0,226442825;0;1080;8450;0,258829171;650
POL-10368;0,330010235;0;1180;5720;0,186738729;480
POL-10369;0,155267636;0;870;10340;0,058821523;350
POL-10370;0,264038354;0;1550;7960;0,129861311;770
POL-10371;0,387055571;0;1570;3930;0,268669248;870
POL-10372;0,121958158;0;1480;9310;0,203716171;240
POL-10373;0,230734368;1;1140;8050;0,180659748;3210
POL-10374;0,337432845;0;1090;5570;0,14410382;300
POL-10375;0,072410463;0;1370;3270;0,232079549;410
POL-10376;0,378220735;0;1010;8900;0,339915616;100
POL-10377;0,3194344;0;1530;9960;0,320337093;660
POL-10378;0,19725972;0;650;8740;0,059149381;70
POL-10379;0,287172101;0;1140;8240;0,194286147;730
POL-10380;0,600822192;0;980;7620;0,148840789;440
POL-10381;0,097122606;0;1560;8620;0,203181399;1080
POL-10382;0,275007354;0;1520;5980;0,231864107;320
POL-10383;0,504593399;0;1390;2870;0,11000842;680
POL-10384;0,15951836;0;1730;8020;0,284470421;1170
POL-10385;0,214443466;0;1250;7290;0,192520415;310
POL-10386;0,463157328;1;1410;3690;0,347601816;5700
POL-10387;0,278102407;0;850;2110;0,057538216;390
POL-10388;0,185040538;0;1170;6660;0,106915753;340
POL-10389;0,114555559;0;1280;6190;0,25688894;290
POL-10390;0,422895056;0;1020;6020;0,258553924;710
POL-10391;0,644067963;0;1310;7660;0,224656467;710
POL-10392;0,308325527;0;760;5010;0,341588009;280
POL-10393;0,410577425;0;1380;7870;0,174594503;110
POL-10394;0,196054206;0;1140;7890;0,175111044;200
POL-10395;0,138874774;0;1050;1180;0,323142909;260
POL-10396;0,098526761;0;1440;6360;0,211532535;530
POL-10397;0,367261131;0;1620;6900;0,156118298;600
POL-10398;0,507379335;1;1470;8000;0,265681396;4170
POL-10399;0,236461969;0;1050;7600;0,235901185;700
POL-10400;0,40563614;0;1420;3000;0,141923015;570
POL-10401;0,264909771;0;1190;6690;0,139378639;70
POL-10402;0,380811794;1;1530;5980;0,168683839;3840
POL-10403;0,225331747;0;1310;8650;0,07148602;130
POL-10404;0,045153695;0;880;4100;0,332785071;460
POL-10405;0,164366033;0;1190;6490;0,104906012;600
POL-10406;0,1914307;1;1040;8240;0,108147291;2250
POL-10407;0,261646114;0;1060;8020;0,244111522;290
POL-10408;0,356393722;0;1170;6190;0,267274114;170
POL-10409;0,080739367;0;1320;8860;0,271050638;140
POL-10410;0,108457475;0;1480;5040;0,162522507;140
POL-10411;0,245526647;0;1120;7960;0,311998686;650
POL-10412;0,545397246;1;1550;8300;0,213199719;7020
POL-10413;0,335541139;0;820;3760;0,181576266;560
POL-10414;0,111932575;0;1040;9110;0,293115938;260
POL-10415;0,07861862;0;1760;3200;0,123068375;1010
POL-10416;0,22324956;0;960;7250;0,308055633;110
POL-10417;0,239344893;0;1560;5560;0,211648818;990
POL-10418;0,469165084;1;1240;8520;0,320017447;4940
POL-10419;0,109301013;0;1230;7160;0,110483759;690
POL-10420;0,350841738;0;1480;10080;0,330818923;370
POL-10421;0,114733277;0;1450;8770;0,256363023;240
POL-10422;0,520956084;1;1580;6760;0,235498558;6950
POL-10423;0,462919117;0;1190;8910;0,176620256;750
POL-10424;0,445808431;1;1290;6290;0,3368945;3340
POL-10425;0,450745647;0;1190;4320;0,183175888;300
POL-10426;0,207768702;0;970;5590;0,199562886;270
POL-10427;0,55308464;1;1290;6270;0,284449433;5760
POL-10428;0,241405785;0;1210;280;0,135452729;710
POL-10429;0,352199145;1;780;9270;0,137448594;3810
POL-10430;0,562333555;1;1530;6310;0,282589306;4870
POL-10431;0,066028107;0;1290;8430;0,088573937;570
POL-10432;0,478010363;1;1070;6820;0,296889356;4860
POL-10433;0,361955742;0;1330;3420;0,237552502;790
POL-10434;0,401619076;0;1120;6660;0,21172513;540
POL-10435;0,144769089;0;1300;6260;0,118732815;320
POL-10436;0,148536183;0;1600;5130;0,285910451;440
POL-10437;0,267312282;0;1350;5720;0,291485927;220
POL-10438;0,266505895;0;1130;6550;0,19488256;400
POL-10439;0,20168444;0;990;1590;0,166750692;120
POL-10440;0,519134858;1;1070;7220;0,123848551;3890
POL-10441;0,012576969;0;1450;7710;0,276270205;230
POL-10442;0,230059532;0;1240;7500;0,241835577;760
POL-10443;0,089162477;0;1390;5940;0,111989309;700
POL-10444;0,543718323;1;1180;10430;0,288340424;4550
POL-10445;0,338064168;0;1020;7520;0,314661594;110
POL-10446;0,220993777;0;1400;5660;0,067774179;800
POL-10447;0,12232167;0;1050;4020;0,281726191;650
POL-10448;0,327157746;0;1150;3770;0,30584058;90
POL-10449;0,099974827;0;940;7300;0,34745237;660
POL-10450;0,33759204;1;1020;7940;0,12128045;4380
POL-10451;0,582854473;1;1470;6750;0,161300962;6570
POL-10452;0,549032609;1;1510;6390;0,339857328;5850
POL-10453;0,144400215;0;1520;5820;0,078204665;80
POL-10454;0,539788685;1;1520;7490;0,207112353;4350
POL-10455;0,049103914;0;1160;4950;0,202023374;260
POL-10456;0,226929867;0;1420;6460;0,231964322;550
POL-10457;0,150711624;0;1510;6690;0,149237784;690
POL-10458;0,039774267;0;1030;7650;0,327775427;580
POL-10459;0,419958678;0;1300;4860;0,131018378;280
POL-10460;0,470320932;1;1220;4490;0,244908655;2350
POL-10461;0,459322562;1;780;6600;0,198778107;2050
POL-10462;0,292869742;0;1330;6910;0,130002036;680
POL-10463;0,325320811;0;1070;6490;0,106656139;690
POL-10464;0,60829974;1;1510;1070;0,336968637;6900
POL-10465;0,227995918;0;1060;7170;0,218387438;130
POL-10466;0,32858339;1;1330;11640;0,231257274;6190
POL-10467;0,18890884;0;1280;8340;0,284868638;100
POL-10468;0,475949165;0;820;2590;0,074367998;140
POL-10469;0,461952468;1;1170;5690;0,26412928;3010
POL-10470;0,335521967;0;1340;6110;0,099542041;490
POL-10471;0,291330526;0;1510;5860;0,272144326;320
POL-10472;0,301036081;0;1250;4020;0,092398601;450
POL-10473;0,327190669;0;1480;4710;0,29974811;580
POL-10474;0,067640993;0;1380;8370;0,254304878;720
POL-10475;0,332803965;1;1390;7990;0,165767087;4680
POL-10476;0,568940384;1;1400;6280;0,157650333;6150
POL-10477;0,168736823;0;1180;8400;0,094684119;330
POL-10478;0,323478508;0;1000;5190;0,321216007;220
POL-10479;0,259514236;1;1640;5810;0,085558782;7870
POL-10480;0,210734108;0;1440;5770;0,191623217;950
POL-10481;0,445438932;1;1230;3400;0,120955536;3950
POL-10482;0,192525178;0;1400;5990;0,348898252;260
POL-10483;0,421573023;1;1350;9780;0,225753215;5960
POL-10484;0,314755606;0;1040;9560;0,094875351;550
POL-10485;0,089175148;0;1170;6730;0,250269199;160
POL-10486;0,181397497;0;1580;6060;0,347482705;810
POL-10487;0,288852076;0;1250;10040;0,231512984;300
POL-10488;0,191220464;0;1340;6010;0,187213728;500
POL-10489;0,254632026;0;1560;5460;0,137981036;380
POL-10490;0,262609158;0;1250;8410;0,077637024;130
POL-10491;0,186857702;0;1020;3080;0,11847389;560
POL-10492;0,123565683;0;1280;6280;0,216086234;750
